[DEBUG][2017-09-03 14:04:48,951][org.mybatis.spring.SqlSessionFactoryBean][Scanned package: 'com.xuyh.netserver.modules.sys.entity' for aliases]
[DEBUG][2017-09-03 14:04:49,287][org.mybatis.spring.SqlSessionFactoryBean][Parsed configuration file: 'class path resource [mybatis-config.xml]']
[DEBUG][2017-09-03 14:04:50,748][org.mybatis.spring.SqlSessionFactoryBean][Parsed mapper file: 'file [F:\Idea-workspace\netServer\target\classes\mapper\sys\UserDao.xml]']
[DEBUG][2017-09-03 14:04:54,227][net.sf.ehcache.config.ConfigurationFactory][Configuring ehcache from InputStream]
[DEBUG][2017-09-03 14:04:54,311][net.sf.ehcache.config.DiskStoreConfiguration][Disk Store Path: temp/netServer/ehcache]
[DEBUG][2017-09-03 14:04:54,534][net.sf.ehcache.util.PropertyUtil][propertiesString is null.]
[DEBUG][2017-09-03 14:04:54,606][net.sf.ehcache.config.ConfigurationHelper][No CacheManagerEventListenerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,726][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,726][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,739][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,778][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,778][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,778][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,779][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,779][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,779][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,779][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,779][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,779][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,780][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,780][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,780][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,780][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,781][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,781][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,781][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,781][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,782][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,782][net.sf.ehcache.Cache][No BootstrapCacheLoaderFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,782][net.sf.ehcache.Cache][CacheWriter factory not configured. Skipping...]
[DEBUG][2017-09-03 14:04:54,782][net.sf.ehcache.config.ConfigurationHelper][No CacheExceptionHandlerFactory class specified. Skipping...]
[DEBUG][2017-09-03 14:04:54,919][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for activeSessionsCache]
[DEBUG][2017-09-03 14:04:54,970][net.sf.ehcache.DiskStorePathManager][Using diskstore path temp\netServer\ehcache]
[DEBUG][2017-09-03 14:04:54,970][net.sf.ehcache.DiskStorePathManager][Holding exclusive lock on F:\Idea-workspace\netServer\temp\netServer\ehcache\.ehcache-diskstore.lock]
[DEBUG][2017-09-03 14:04:55,020][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\active%0053essions%0043ache.index]
[DEBUG][2017-09-03 14:04:55,020][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file active%0053essions%0043ache.index]
[DEBUG][2017-09-03 14:04:55,073][net.sf.ehcache.Cache][Initialised cache: activeSessionsCache]
[DEBUG][2017-09-03 14:04:55,073][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'activeSessionsCache'.]
[DEBUG][2017-09-03 14:04:55,073][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'activeSessionsCache'.]
[DEBUG][2017-09-03 14:04:55,075][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for actCache]
[DEBUG][2017-09-03 14:04:55,081][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file act%0043ache.index]
[DEBUG][2017-09-03 14:04:55,085][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\act%0043ache.index]
[DEBUG][2017-09-03 14:04:55,086][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file act%0043ache.index]
[DEBUG][2017-09-03 14:04:55,139][net.sf.ehcache.Cache][Initialised cache: actCache]
[DEBUG][2017-09-03 14:04:55,139][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'actCache'.]
[DEBUG][2017-09-03 14:04:55,139][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'actCache'.]
[DEBUG][2017-09-03 14:04:55,141][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for cmsCache]
[DEBUG][2017-09-03 14:04:55,148][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file cms%0043ache.index]
[DEBUG][2017-09-03 14:04:55,154][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\cms%0043ache.index]
[DEBUG][2017-09-03 14:04:55,155][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file cms%0043ache.index]
[DEBUG][2017-09-03 14:04:55,156][net.sf.ehcache.Cache][Initialised cache: cmsCache]
[DEBUG][2017-09-03 14:04:55,156][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'cmsCache'.]
[DEBUG][2017-09-03 14:04:55,156][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'cmsCache'.]
[DEBUG][2017-09-03 14:04:55,203][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for pageCachingFilter]
[DEBUG][2017-09-03 14:04:55,215][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file page%0043aching%0046ilter.index]
[DEBUG][2017-09-03 14:04:55,223][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\page%0043aching%0046ilter.index]
[DEBUG][2017-09-03 14:04:55,224][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file page%0043aching%0046ilter.index]
[DEBUG][2017-09-03 14:04:55,228][net.sf.ehcache.Cache][Initialised cache: pageCachingFilter]
[DEBUG][2017-09-03 14:04:55,228][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'pageCachingFilter'.]
[DEBUG][2017-09-03 14:04:55,229][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'pageCachingFilter'.]
[DEBUG][2017-09-03 14:04:55,230][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for corpCache]
[DEBUG][2017-09-03 14:04:55,237][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file corp%0043ache.index]
[DEBUG][2017-09-03 14:04:55,241][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\corp%0043ache.index]
[DEBUG][2017-09-03 14:04:55,241][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file corp%0043ache.index]
[DEBUG][2017-09-03 14:04:55,244][net.sf.ehcache.Cache][Initialised cache: corpCache]
[DEBUG][2017-09-03 14:04:55,244][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'corpCache'.]
[DEBUG][2017-09-03 14:04:55,244][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'corpCache'.]
[DEBUG][2017-09-03 14:04:55,246][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for sysCache]
[DEBUG][2017-09-03 14:04:55,251][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file sys%0043ache.index]
[DEBUG][2017-09-03 14:04:55,256][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\sys%0043ache.index]
[DEBUG][2017-09-03 14:04:55,256][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file sys%0043ache.index]
[DEBUG][2017-09-03 14:04:55,257][net.sf.ehcache.Cache][Initialised cache: sysCache]
[DEBUG][2017-09-03 14:04:55,258][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'sysCache'.]
[DEBUG][2017-09-03 14:04:55,258][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'sysCache'.]
[DEBUG][2017-09-03 14:04:55,259][net.sf.ehcache.store.MemoryStore][Initialized net.sf.ehcache.store.MemoryStore for userCache]
[DEBUG][2017-09-03 14:04:55,266][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file user%0043ache.index]
[DEBUG][2017-09-03 14:04:55,273][net.sf.ehcache.store.disk.DiskStorageFactory][Matching data file missing (or empty) for index file. Deleting index file temp\netServer\ehcache\user%0043ache.index]
[DEBUG][2017-09-03 14:04:55,275][net.sf.ehcache.store.disk.DiskStorageFactory][Failed to delete file user%0043ache.index]
[DEBUG][2017-09-03 14:04:55,276][net.sf.ehcache.Cache][Initialised cache: userCache]
[DEBUG][2017-09-03 14:04:55,276][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured. Skipping for 'userCache'.]
[DEBUG][2017-09-03 14:04:55,277][net.sf.ehcache.config.ConfigurationHelper][CacheDecoratorFactory not configured for defaultCache. Skipping for 'userCache'.]
[DEBUG][2017-09-03 14:05:47,837][org.mybatis.spring.SqlSessionUtils][Creating a new SqlSession]
[DEBUG][2017-09-03 14:05:47,913][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4c8d13a1] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:05:48,120][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
[DEBUG][2017-09-03 14:05:48,379][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==>  Preparing: SELECT a.id, a.company_id AS "company.id", a.office_id AS "office.id", a.login_name, a.password, a.no, a.name, a.email, a.phone, a.mobile, a.user_type, a.login_ip, a.login_date, a.remarks, a.login_flag, a.photo, a.create_by AS "createBy.id", a.create_date, a.update_by AS "updateBy.id", a.update_date, a.del_flag, c.name AS "company.name", c.parent_id AS "company.parent.id", c.parent_ids AS "company.parentIds", ca.id AS "company.area.id", ca.name AS "company.area.name", ca.parent_id AS "company.area.parent.id", ca.parent_ids AS "company.area.parentIds", o.name AS "office.name", o.parent_id AS "office.parent.id", o.parent_ids AS "office.parentIds", oa.id AS "office.area.id", oa.name AS "office.area.name", oa.parent_id AS "office.area.parent.id", oa.parent_ids AS "office.area.parentIds", cu.id AS "company.primaryPerson.id", cu.name AS "company.primaryPerson.name", cu2.id AS "company.deputyPerson.id", cu2.name AS "company.deputyPerson.name", ou.id AS "office.primaryPerson.id", ou.name AS "office.primaryPerson.name", ou2.id AS "office.deputyPerson.id", ou2.name AS "office.deputyPerson.name" FROM sys_user a ]
[DEBUG][2017-09-03 14:05:49,381][com.xuyh.netserver.modules.sys.dao.UserDao.findAll][==> Parameters: ]
[DEBUG][2017-09-03 14:05:49,520][org.mybatis.spring.SqlSessionUtils][Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4c8d13a1]]
[DEBUG][2017-09-03 14:06:24,491][org.mybatis.spring.SqlSessionUtils][Creating a new SqlSession]
[DEBUG][2017-09-03 14:06:24,492][org.mybatis.spring.SqlSessionUtils][SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@7ba060f9] was not registered for synchronization because synchronization is not active]
[DEBUG][2017-09-03 14:06:24,500][org.mybatis.spring.transaction.SpringManagedTransaction][JDBC Connection [com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl@c4e5ad7] will not be managed by Spring]
